Date,Time,Temperature,Humidity,co,ch4,pm2.5
10/26/2021,5:57:56 AM,33.6,71,4592,6832,318.65
10/26/2021,5:57:51 AM,33.7,71,4656,6928,451.46
10/26/2021,5:57:45 AM,33.8,70,4672,6944,345.21
10/26/2021,5:57:38 AM,34,69,4688,6944,544.43
10/26/2021,5:57:33 AM,34.2,68,4720,6960,451.46
10/26/2021,5:57:21 AM,34.3,68,4752,6976,424.9
10/26/2021,5:57:13 AM,34.3,68,4768,6976,570.99
10/26/2021,5:57:08 AM,34.5,67,4784,6976,464.74
10/26/2021,5:57:03 AM,34.5,67,4784,6976,411.62
10/26/2021,5:56:57 AM,34.6,68,4832,6992,331.93
10/26/2021,5:56:51 AM,34.2,71,4848,6992,318.65
10/26/2021,5:56:40 AM,33.2,75,4912,7008,385.06
10/26/2021,5:56:34 AM,33,75,4976,6992,424.9
10/26/2021,5:56:23 AM,33,75,5040,6976,464.74
10/26/2021,5:56:14 AM,33,77,5088,6896,331.93
10/26/2021,5:55:48 AM,31.5,84,5456,7056,331.93
10/26/2021,5:55:38 AM,31.2,85,6080,6976,531.15
10/26/2021,5:55:28 AM,31,83,6208,6784,597.56
10/26/2021,5:55:18 AM,31,83,5120,6144,810.06
10/26/2021,5:55:13 AM,31.1,84,4304,5360,345.21
10/26/2021,5:42:48 AM,31,83,4576,5552,331.93
10/26/2021,5:42:32 AM,31,83,4560,5536,398.34
10/26/2021,5:42:26 AM,31,83,4560,5616,305.37
10/26/2021,5:42:17 AM,31,83,4576,5600,318.65
